file,series,model,run_id,n_test,cm_sum,ok,cm_shape
original_LinearSVM_s45_f3.joblib,original,LinearSVM,s45_f3,2167,2167,True,"(2, 2)"
original_SVM_s42_f1.joblib,original,SVM,s42_f1,2167,2167,True,"(2, 2)"
original_NeuralNet_s45_f0.joblib,original,NeuralNet,s45_f0,2168,2168,True,"(2, 2)"
lemmatized_RandomForest_s43_f3.joblib,lemmatized,RandomForest,s43_f3,2167,2167,True,"(2, 2)"
original_RandomForest_s43_f3.joblib,original,RandomForest,s43_f3,2167,2167,True,"(2, 2)"
original_NeuralNet_s42_f4.joblib,original,NeuralNet,s42_f4,2167,2167,True,"(2, 2)"
original_RandomForest_s47_f0.joblib,original,RandomForest,s47_f0,2168,2168,True,"(2, 2)"
lemmatized_LinearSVM_s44_f4.joblib,lemmatized,LinearSVM,s44_f4,2167,2167,True,"(2, 2)"
lemmatized_LinearSVM_s43_f0.joblib,lemmatized,LinearSVM,s43_f0,2168,2168,True,"(2, 2)"
original_RandomForest_s48_f1.joblib,original,RandomForest,s48_f1,2167,2167,True,"(2, 2)"
lemmatized_SVM_s42_f1.joblib,lemmatized,SVM,s42_f1,2167,2167,True,"(2, 2)"
original_LinearSVM_s46_f4.joblib,original,LinearSVM,s46_f4,2167,2167,True,"(2, 2)"
lemmatized_NeuralNet_s43_f3.joblib,lemmatized,NeuralNet,s43_f3,2167,2167,True,"(2, 2)"
original_SVM_s46_f2.joblib,original,SVM,s46_f2,2167,2167,True,"(2, 2)"
original_SVM_s47_f4.joblib,original,SVM,s47_f4,2167,2167,True,"(2, 2)"
original_LinearSVM_s48_f3.joblib,original,LinearSVM,s48_f3,2167,2167,True,"(2, 2)"
lemmatized_NeuralNet_s45_f1.joblib,lemmatized,NeuralNet,s45_f1,2167,2167,True,"(2, 2)"
original_LinearSVM_s47_f2.joblib,original,LinearSVM,s47_f2,2167,2167,True,"(2, 2)"
original_NeuralNet_s48_f0.joblib,original,NeuralNet,s48_f0,2168,2168,True,"(2, 2)"
lemmatized_LinearSVM_s45_f2.joblib,lemmatized,LinearSVM,s45_f2,2167,2167,True,"(2, 2)"
original_NeuralNet_s47_f1.joblib,original,NeuralNet,s47_f1,2167,2167,True,"(2, 2)"
